Node1,Node2,Layer
aus,alb,230
aut,alb,240
aut,alb,482
aut,alb,612
aut,alb,5416
aut,alb,5417
aut,alb,5530
aut,alb,5542
aut,alb,6421
aut,alb,7267
aut,alb,7284
aut,alb,7416
aut,alb,7428
aut,alb,7599
aut,alb,7757
aut,alb,7758
aut,alb,7810
aut,alb,7821
aut,alb,7832
aut,alb,7914
aut,alb,9310
bel,alb,240
bel,alb,482
bel,alb,2690
bel,alb,5629
bel,alb,6522
bel,alb,6531
bel,alb,6534
bel,alb,6595
bel,alb,6794
bel,alb,7139
bel,alb,7849
bel,alb,8983
bel,alb,9310
bra,alb,113
bgr,alb,240
bgr,alb,412
bgr,alb,440
bgr,alb,460
bgr,alb,481
bgr,alb,484
bgr,alb,565
bgr,alb,585
bgr,alb,812
bgr,alb,913
bgr,alb,4236
bgr,alb,5417
bgr,alb,5530
bgr,alb,5831
bgr,alb,5921
bgr,alb,6251
bgr,alb,6252
bgr,alb,6342
bgr,alb,6343
bgr,alb,6411
bgr,alb,6412
bgr,alb,6415
bgr,alb,6417
bgr,alb,6421
bgr,alb,6522
bgr,alb,6624
bgr,alb,6644
bgr,alb,6651
bgr,alb,6770
bgr,alb,6783
bgr,alb,6785
bgr,alb,6822
bgr,alb,6931
bgr,alb,6996
bgr,alb,7283
bgr,alb,7611
bgr,alb,7711
bgr,alb,7731
bgr,alb,7732
bgr,alb,7758
bgr,alb,7849
bgr,alb,8122
bgr,alb,8219
bgr,alb,8459
bgr,alb,8472
bgr,alb,8510
bgr,alb,8720
bgr,alb,8931
bgr,alb,8939
bgr,alb,8993
can,alb,114
can,alb,6423
can,alb,6573
can,alb,8928
chn,alb,6531
chn,alb,6532
chn,alb,6534
chn,alb,6642
chn,alb,7224
chn,alb,7373
chn,alb,7422
chn,alb,7429
chn,alb,7712
chn,alb,7852
chn,alb,7853
chn,alb,8422
chn,alb,8472
chn,alb,8842
chn,alb,8999
cze,alb,1222
cze,alb,5542
cze,alb,6252
cze,alb,6424
cze,alb,7139
cze,alb,7849
cze,alb,7919
dnk,alb,230
dnk,alb,980
dnk,alb,6531
dnk,alb,6534
dnk,alb,6536
dnk,alb,7810
dnk,alb,7831
dnk,alb,8441
ecu,alb,8462
fin,alb,2482
fin,alb,7212
fin,alb,7641
fin,alb,7643
fin,alb,7649
fin,alb,7764
fra,alb,412
fra,alb,440
fra,alb,460
fra,alb,980
fra,alb,4236
fra,alb,5417
fra,alb,5514
fra,alb,5989
fra,alb,6745
fra,alb,6960
fra,alb,7162
fra,alb,7523
fra,alb,7524
fra,alb,7599
fra,alb,7648
fra,alb,7721
fra,alb,7731
fra,alb,7762
fra,alb,7781
fra,alb,8741
fra,alb,8852
fra,alb,8921
deu,alb,223
deu,alb,240
deu,alb,612
deu,alb,980
deu,alb,1124
deu,alb,2671
deu,alb,3345
deu,alb,5146
deu,alb,5419
deu,alb,5912
